160	ERIN	0.14%	457,824
161	GERALDINE	0.14%	457,824
162	LAUREN	0.14%	444,836
163	CATHY	0.14%	444,836
164	JOANN	0.14%	441,589
165	LORRAINE	0.14%	438,342
166	LYNN	0.14%	438,342
167	SALLY	0.14%	438,342
168	REGINA	0.13%	431,848
169	ERICA	0.13%	422,107
170	BEATRICE	0.13%	422,107
171	DOLORES	0.13%	418,860
172	BERNICE	0.13%	415,613
173	AUDREY	0.13%	412,366
174	YVONNE	0.13%	409,119
175	ANNETTE	0.13%	405,872
176	JUNE	0.13%	405,872
177	SAMANTHA	0.12%	402,625
178	MARION	0.12%	396,131
179	DANA	0.12%	396,131
180	STACY	0.12%	392,884
181	ANA	0.12%	389,637
182	RENEE	0.12%	389,637
183	IDA	0.12%	383,143
184	VIVIAN	0.12%	383,143
185	ROBERTA	0.12%	379,896
186	HOLLY	0.12%	379,896
187	BRITTANY	0.12%	379,896
188	MELANIE	0.12%	376,649
189	LORETTA	0.12%	373,402
190	YOLANDA	0.12%	373,402
191	JEANETTE	0.12%	373,402
192	LAURIE	0.11%	370,155
193	KATIE	0.11%	366,909
194	KRISTEN	0.11%	360,415
195	VANESSA	0.11%	360,415
196	ALMA	0.11%	360,415
197	SUE	0.11%	360,415
198	ELSIE	0.11%	357,168
199	BETH	0.11%	357,168
200	JEANNE	0.11%	353,921
201	VICKI	0.11%	353,921
202	CARLA	0.11%	347,427
203	TARA	0.11%	347,427
204	ROSEMARY	0.11%	347,427
205	EILEEN	0.11%	340,933
206	TERRI	0.11%	340,933
207	GERTRUDE	0.10%	334,439
208	LUCY	0.10%	334,439
209	TONYA	0.10%	331,192
210	ELLA	0.10%	327,945
211	STACEY	0.10%	327,945
212	WILMA	0.10%	321,451
213	GINA	0.10%	321,451
214	KRISTIN	0.10%	321,451
215	JESSIE	0.10%	318,204
216	NATALIE	0.10%	318,204
217	AGNES	0.10%	318,204
218	VERA	0.10%	318,204
219	WILLIE	0.10%	314,957
220	CHARLENE	0.10%	314,957
221	BESSIE	0.10%	311,710
222	DELORES	0.10%	308,463
223	MELINDA	0.09%	305,216
224	PEARL	0.09%	305,216
225	ARLENE	0.09%	305,216
226	MAUREEN	0.09%	298,722
227	COLLEEN	0.09%	298,722
228	ALLISON	0.09%	298,722
229	TAMARA	0.09%	298,722
230	JOY	0.09%	295,475
231	GEORGIA	0.09%	295,475
232	CONSTANCE	0.09%	295,475
233	LILLIE	0.09%	292,228
234	CLAUDIA	0.09%	292,228
235	JACKIE	0.09%	292,228
236	MARCIA	0.09%	292,228
237	TANYA	0.09%	288,981
238	NELLIE	0.09%	288,981
239	MINNIE	0.09%	288,981
240	MARLENE	0.09%	285,734
241	HEIDI	0.09%	285,734
242	GLENDA	0.09%	285,734
243	LYDIA	0.09%	279,240
244	VIOLA	0.09%	279,240
245	COURTNEY	0.09%	279,240
246	MARIAN	0.09%	279,240
247	STELLA	0.09%	275,993
248	CAROLINE	0.09%	275,993
249	DORA	0.08%	272,746
250	JO	0.08%	269,499
251	VICKIE	0.08%	266,252
252	MATTIE	0.08%	263,005
253	TERRY	0.08%	259,758
254	MAXINE	0.08%	256,511
255	IRMA	0.08%	256,511
256	MABEL	0.08%	253,264
257	MARSHA	0.08%	253,264
258	MYRTLE	0.08%	253,264
259	LENA	0.08%	250,017
260	CHRISTY	0.08%	250,017
261	DEANNA	0.08%	246,770
262	PATSY	0.08%	246,770
263	HILDA	0.08%	243,523
264	GWENDOLYN	0.07%	240,276
265	JENNIE	0.07%	237,029
266	NORA	0.07%	237,029
267	MARGIE	0.07%	233,782
268	NINA	0.07%	233,782
269	CASSANDRA	0.07%	233,782
270	LEAH	0.07%	233,782
271	PENNY	0.07%	230,535
272	KAY	0.07%	230,535
273	PRISCILLA	0.07%	230,535
274	NAOMI	0.07%	230,535
275	CAROLE	0.07%	230,535
276	BRANDY	0.07%	227,288
277	OLGA	0.07%	227,288
278	BILLIE	0.07%	224,041
279	DIANNE	0.07%	224,041
280	TRACEY	0.07%	224,041
281	LEONA	0.07%	224,041
282	JENNY	0.07%	220,795
283	FELICIA	0.07%	220,795
284	SONIA	0.07%	220,795
285	MIRIAM	0.07%	214,301
286	VELMA	0.07%	214,301
287	BECKY	0.07%	214,301
288	BOBBIE	0.07%	211,054
289	VIOLET	0.07%	211,054
290	KRISTINA	0.07%	211,054
291	TONI	0.06%	207,807
292	MISTY	0.06%	204,560
293	MAE	0.06%	204,560
294	SHELLY	0.06%	201,313
295	DAISY	0.06%	201,313
296	RAMONA	0.06%	201,313
297	SHERRI	0.06%	201,313
298	ERIKA	0.06%	198,066
299	KATRINA	0.06%	198,066
300	CLAIRE	0.06%	198,066
301	LINDSEY	0.06%	194,819
302	LINDSAY	0.06%	194,819
303	GENEVA	0.06%	191,572
304	GUADALUPE	0.06%	191,572
305	BELINDA	0.06%	191,572
306	MARGARITA	0.06%	191,572
307	SHERYL	0.06%	191,572
308	CORA	0.06%	188,325
309	FAYE	0.06%	188,325
310	ADA	0.06%	185,078
311	NATASHA	0.06%	185,078
312	SABRINA	0.06%	185,078
313	ISABEL	0.06%	185,078
314	MARGUERITE	0.06%	181,831
315	HATTIE	0.06%	181,831
316	HARRIET	0.06%	181,831
317	MOLLY	0.06%	178,584
318	CECILIA	0.06%	178,584
319	KRISTI	0.06%	178,584
320	BRANDI	0.06%	178,584
321	BLANCHE	0.06%	178,584
322	SANDY	0.06%	178,584
