82	RUSSELL	0.22%	727,323	KATHRYN	0.23%	759,793
83	BOBBY	0.22%	724,076	LOUISE	0.23%	743,558
84	VICTOR	0.22%	720,829	SARA	0.23%	743,558
85	MARTIN	0.22%	701,347	ANNE	0.23%	740,311
86	ERNEST	0.22%	698,100	JACQUELINE	0.23%	740,311
87	PHILLIP	0.21%	691,606	WANDA	0.23%	733,817
88	TODD	0.21%	691,606	BONNIE	0.22%	724,076
89	JESSE	0.21%	678,618	JULIA	0.22%	724,076
90	CRAIG	0.21%	668,877	RUBY	0.22%	717,582
91	ALAN	0.20%	662,384	LOIS	0.22%	714,335
92	SHAWN	0.20%	649,396	TINA	0.22%	714,335
93	CLARENCE	0.20%	639,655	PHYLLIS	0.22%	711,088
94	SEAN	0.20%	639,655	NORMA	0.22%	707,841
95	PHILIP	0.20%	639,655	PAULA	0.22%	704,594
96	CHRIS	0.20%	639,655	DIANA	0.22%	701,347
97	JOHNNY	0.20%	633,161	ANNIE	0.22%	701,347
98	EARL	0.19%	626,667	LILLIAN	0.21%	685,112
99	JIMMY	0.19%	620,173	EMILY	0.21%	675,371
100	ANTONIO	0.19%	616,926	ROBIN	0.21%	675,371
101	DANNY	0.19%	616,926	PEGGY	0.21%	675,371
102	BRYAN	0.19%	616,926	CRYSTAL	0.21%	672,124
103	TONY	0.19%	616,926	GLADYS	0.21%	665,630
104	LUIS	0.19%	613,679	RITA	0.20%	662,384
105	MIKE	0.19%	613,679	DAWN	0.20%	655,890
106	STANLEY	0.19%	603,938	CONNIE	0.20%	649,396
107	LEONARD	0.19%	603,938	FLORENCE	0.20%	649,396
108	NATHAN	0.19%	600,691	TRACY	0.20%	639,655
109	DALE	0.18%	597,444	EDNA	0.20%	639,655
110	MANUEL	0.18%	587,703	TIFFANY	0.20%	633,161
111	RODNEY	0.18%	584,456	CARMEN	0.20%	633,161
112	CURTIS	0.18%	584,456	ROSA	0.19%	629,914
113	NORMAN	0.18%	574,715	CINDY	0.19%	623,420
114	ALLEN	0.17%	564,974	GRACE	0.19%	613,679
115	MARVIN	0.17%	555,233	WENDY	0.19%	600,691
116	VINCENT	0.17%	545,492	VICTORIA	0.18%	584,456
117	GLENN	0.17%	542,245	EDITH	0.18%	581,209
118	JEFFERY	0.17%	538,998	KIM	0.18%	577,962
119	TRAVIS	0.17%	538,998	SHERRY	0.18%	577,962
120	JEFF	0.17%	538,998	SYLVIA	0.18%	574,715
121	CHAD	0.17%	535,751	JOSEPHINE	0.18%	574,715
122	JACOB	0.17%	535,751	THELMA	0.18%	568,221
123	LEE	0.16%	526,010	SHANNON	0.18%	568,221
124	MELVIN	0.16%	526,010	SHEILA	0.18%	568,221
125	ALFRED	0.16%	526,010	ETHEL	0.17%	564,974
126	KYLE	0.16%	519,516	ELLEN	0.17%	561,727
127	FRANCIS	0.16%	519,516	ELAINE	0.17%	561,727
128	BRADLEY	0.16%	516,269	MARJORIE	0.17%	561,727
129	JESUS	0.16%	503,282	CARRIE	0.17%	555,233
130	HERBERT	0.16%	503,282	CHARLOTTE	0.17%	548,739
131	FREDERICK	0.15%	500,035	MONICA	0.17%	538,998
132	RAY	0.15%	496,788	ESTHER	0.17%	538,998
133	JOEL	0.15%	493,541	PAULINE	0.17%	535,751
134	EDWIN	0.15%	480,553	EMMA	0.17%	535,751
135	DON	0.15%	470,812	JUANITA	0.16%	532,504
136	EDDIE	0.14%	467,565	ANITA	0.16%	526,010
137	RICKY	0.14%	457,824	RHONDA	0.16%	526,010
138	TROY	0.14%	448,083	HAZEL	0.16%	522,763
139	RANDALL	0.14%	448,083	AMBER	0.16%	519,516
140	BARRY	0.13%	435,095	EVA	0.16%	516,269
141	ALEXANDER	0.13%	428,601	DEBBIE	0.16%	509,776
142	BERNARD	0.13%	412,366	APRIL	0.15%	500,035
143	MARIO	0.13%	405,872	LESLIE	0.15%	500,035
144	LEROY	0.13%	405,872	CLARA	0.15%	496,788
145	FRANCISCO	0.12%	402,625	LUCILLE	0.15%	496,788
146	MARCUS	0.12%	402,625	JAMIE	0.15%	496,788
147	MICHEAL	0.12%	399,378	JOANNE	0.15%	487,047
148	THEODORE	0.12%	399,378	ELEANOR	0.15%	487,047
149	CLIFFORD	0.12%	399,378	VALERIE	0.15%	483,800
150	MIGUEL	0.12%	396,131	DANIELLE	0.15%	483,800
151	OSCAR	0.12%	396,131	MEGAN	0.15%	477,306
152	JAY	0.12%	383,143	ALICIA	0.15%	474,059
153	JIM	0.12%	383,143	SUZANNE	0.15%	470,812
154	TOM	0.12%	379,896	MICHELE	0.15%	470,812
155	CALVIN	0.12%	373,402	GAIL	0.15%	470,812
156	ALEX	0.12%	373,402	BERTHA	0.14%	464,318
157	JON	0.12%	373,402	DARLENE	0.14%	461,071
158	RONNIE	0.11%	366,909	VERONICA	0.14%	461,071
159	BILL	0.11%	363,662	JILL	0.14%	461,071
160	LLOYD	0.11%	363,662	ERIN	0.14%	457,824
161	TOMMY	0.11%	363,662	GERALDINE	0.14%	457,824
162	LEON	0.11%	363,662	LAUREN	0.14%	444,836
163	DEREK	0.11%	363,662	CATHY	0.14%	444,836
164	WARREN	0.11%	357,168	JOANN	0.14%	441,589
165	DARRELL	0.11%	350,674	LORRAINE	0.14%	438,342
166	JEROME	0.11%	350,674	LYNN	0.14%	438,342
167	FLOYD	0.11%	347,427	SALLY	0.14%	438,342
168	LEO	0.11%	344,180	REGINA	0.13%	431,848
169	ALVIN	0.11%	340,933	ERICA	0.13%	422,107
